done,sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,layer,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids
0,82,2417,Multi-Digit by One-Digit Multiplication Using Place Value,4GM,4GM.4.3.4,4.3.4,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,11,16,44,2393;2416
0,83,2394,Two-Digit by Two-Digit Multiplication Using Place Value,4GM,4GM.4.3.6,4.3.6,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,11,13,39,2416;2418
0,84,3952,Division With Remainders,4GM,4GM.5.1.5,5.1.5,5. Division,5.1. Dividing Whole Numbers,11,13,41,2206;2390;3949
0,85,3951,Writing Unit Fractions in Words,4GM,4GM.6.1.3,6.1.3,6. Fractions & Decimals,6.1. Fractions,11,13,46,2206;2366;3885;7003
0,86,533,Dividing Whole Numbers by Unit Fractions,5GM,5GM.4.2.3,4.2.3,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,11,11,33,529;2392
0,87,530,Dividing Unit Fractions by Whole Numbers,5GM,5GM.4.2.5,4.2.5,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,11,11,33,528;2392
0,88,2321,Evaluating Exponents,6GM,6GM.5.4.2,5.4.2,5. The Number System- Rational Numbers,5.4. Exponents,11,13,28,2314;2392
0,89,3884,Rounding Up Whole Numbers,4GM,4GM.2.2.5,2.2.5,2. The Number System,2.2. Comparing Whole Numbers,12,11,39,3883
0,90,3933,Multiplying Numbers Using Repeated Subtraction,4GM,4GM.4.2.6,4.2.6,4. Multiplication,4.2. Multiplying Whole Numbers,12,14,41,3878;3908
0,91,2391,Interpreting Remainders in Context,4GM,4GM.5.1.6,5.1.6,5. Division,5.1. Dividing Whole Numbers,12,14,38,3952
0,92,3959,Writing Fractions in Words,4GM,4GM.6.1.4,6.1.4,6. Fractions & Decimals,6.1. Fractions,12,15,45,3951
0,93,3898,Interpreting Division Problems as Mixed Numbers,4GM,4GM.6.2.4,6.2.4,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,12,12,40,2206;2409;3893;3952;7008
0,94,2365,Least Common Denominators,4GM,4GM.6.3.3,6.3.3,6. Fractions & Decimals,6.3. Equivalent Fractions,12,16,38,2363;2440
0,95,538,Comparing Fractions,4GM,4GM.6.4.1,6.4.1,6. Fractions & Decimals,6.4. Comparing Fractions,12,16,36,2324;3951
0,96,2291,Three- and Four-Digit by One-Digit Multiplication,5GM,5GM.2.1.3,2.1.3,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,12,16,38,2392;2417
0,97,258,Two-Digit by Two-Digit Multiplication,5GM,5GM.2.1.5,2.1.5,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,12,12,38,2392;2394
0,98,2437,Dividing Whole Numbers by Fractions Using Models: Whole Number Results,6GM,6GM.3.1.1,3.1.1,3. The Number System- Dividing Fractions,3.1. Dividing Fractions and Whole Numbers,12,12,34,529;3951
0,99,3900,Rounding Up the Digit 9,4GM,4GM.2.2.6,2.2.6,2. The Number System,2.2. Comparing Whole Numbers,13,10,38,3884
0,100,2422,Dividing by One-Digit Numbers by Connecting Multiplication and Division,4GM,4GM.5.1.8,5.1.8,5. Division,5.1. Dividing Whole Numbers,13,13,40,2390;3877;3933
0,101,2359,Converting Improper Fractions to Mixed Numbers,4GM,4GM.6.2.5,6.2.5,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,13,11,39,3898
0,102,2376,Comparing Fraction Models Using Common Denominators,4GM,4GM.6.4.4,6.4.4,6. Fractions & Decimals,6.4. Comparing Fractions,13,16,35,538;2365;3935
0,103,2341,Decimal Fractions,4GM,4GM.6.8.1,6.8.1,6. Fractions & Decimals,6.8. Decimals,13,14,44,3959
0,104,4788,Five- and Six-Digit by One-Digit Multiplication,5GM,5GM.2.1.4,2.1.4,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,13,15,37,2291
0,105,2288,Multi-Digit by Two-Digit Multiplication,5GM,5GM.2.1.6,2.1.6,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,13,15,37,258
0,106,2374,Adding Fractions With Unlike Denominators Using Models,5GM,5GM.3.2.2,3.2.2,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,13,15,37,543;2365
0,107,4698,Dividing Whole Numbers by Fractions Using Models: Fractional Results,6GM,6GM.3.1.2,3.1.2,3. The Number System- Dividing Fractions,3.1. Dividing Fractions and Whole Numbers,13,11,33,2437
0,108,3879,Estimating Multi-Digit Addition,4GM,4GM.3.1.7,3.1.7,3. Addition & Subtraction,3.1. Adding Whole Numbers,14,17,37,3900
0,109,3880,Estimating Multi-Digit Subtraction,4GM,4GM.3.2.6,3.2.6,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,14,17,37,3900;3909
0,110,2423,Two-Digit by One-Digit Division Using Area Models,4GM,4GM.5.2.1,5.2.1,5. Division,5.2. Dividing Whole Numbers Using Models,14,15,39,2415;2422;3886
0,111,4204,Comparing Fractions Using Common Denominators,4GM,4GM.6.4.5,6.4.5,6. Fractions & Decimals,6.4. Comparing Fractions,14,15,34,2376;2439
0,112,2351,Adding Fractions With Like Denominators,4GM,4GM.6.5.2,6.5.2,6. Fractions & Decimals,6.5. Adding Fractions,14,13,38,2359;2370
0,113,3915,Plotting Decimals on Number Lines,4GM,4GM.6.8.2,6.8.2,6. Fractions & Decimals,6.8. Decimals,14,13,41,2341;3893;7008
0,114,3914,Converting Fractions to Decimals,4GM,4GM.6.8.4,6.8.4,6. Fractions & Decimals,6.8. Decimals,14,15,43,2341;2363;2417
0,115,383,Three-Digit by Three-Digit Multiplication,5GM,5GM.2.1.7,2.1.7,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,14,14,36,2288
0,116,2372,Subtracting Fractions With Unlike Denominators Using Models,5GM,5GM.3.2.3,3.2.3,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,14,14,36,544;2374
0,117,299,Multiplying and Dividing With Zero,PAL,PAL.2.2.7,2.2.7,2. The Number System,2.2. Multiplication and Division of Rational Numbers,14,12,30,2422
0,118,2426,Multi-Digit by One-Digit Division Using Area Models,4GM,4GM.5.2.2,5.2.2,5. Division,5.2. Dividing Whole Numbers Using Models,15,14,38,2423
0,119,2424,Two-Digit by One-Digit Division Using Partial Quotients,4GM,4GM.5.2.4,5.2.4,5. Division,5.2. Dividing Whole Numbers Using Models,15,14,38,2423
0,120,3901,Converting Mixed Numbers to Improper Fractions,4GM,4GM.6.2.6,6.2.6,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,15,12,36,2351
0,121,3934,Subtracting Fractions With Like Denominators,4GM,4GM.6.5.3,6.5.3,6. Fractions & Decimals,6.5. Adding Fractions,15,17,36,2351
0,122,2352,Adding Mixed Numbers With Like Denominators,4GM,4GM.6.6.1,6.6.1,6. Fractions & Decimals,6.6. Adding Mixed Numbers,15,17,36,2351
