classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-kinds,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
equivalent,67,67,528,Dividing Unit Fractions by Whole Numbers Using Models,5GM,5GM.4.2.4,4.2.4,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,,7,334;331;443;1159,334:12;331:13;443:14;1159:13,564,564,,queue-checkmark,6,1589,Distance-Time Graphs
equivalent,68,68,544,Subtracting Fractions and Whole Numbers Using Models,5GM,5GM.3.1.3,3.1.3,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,,7,334;331;443;1159,334:15;331:13;443:14;1159:10,543,543,,activity-history;activity-history;activity-history,6,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,69,69,3980,Measuring Angles Using a Protractor,4GM,4GM.7.3.4,7.3.4,7. Measurement & Data,7.3. Geometry,133,8,1159,1159:13,2172;3906,2172;3906,,activity-history,3,167,Negative Angles in the Coordinate Plane
equivalent,70,70,2415,Two-Digit by One-Digit Multiplication Using Area Models,4GM,4GM.4.3.1,4.3.1,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,,8,334;331;443;1159,334:14;331:10;443:11;1159:12,122;488;3910,122;488;3910,,activity-history;queue-checkmark;activity-history,5,73;1589;1753,Fibonacci Sequences;Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,71,71,3886,Dividing Numbers Using Place-Value Strategies,4GM,4GM.5.1.9,5.1.9,5. Division,5.1. Dividing Whole Numbers,,8,334;331;443;1159,334:15;331:10;443:11;1159:12,3923;3924,3923;3924,,activity-history;queue-checkmark,6,425;1589,The Discriminant of a Quadratic Equation;Distance-Time Graphs
equivalent,72,72,3907,Subtracting Three-Digit Numbers,4GM,4GM.3.2.3,3.2.3,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,,8,334;331;443;1159,334:15;331:12;443:13;1159:10,3906,3906,,activity-history,5,437,Adding and Subtracting Rational Expressions
equivalent,73,73,3913,Adding Numbers Up to Seven Digits,4GM,4GM.3.1.5,3.1.5,3. Addition & Subtraction,3.1. Adding Whole Numbers,,8,334;331;443;1159,334:14;331:11;443:12;1159:13,3912,3912,,activity-history;queue-checkmark,6,73;1589,Fibonacci Sequences;Distance-Time Graphs
equivalent,74,74,565,Multiplying Fractions by Unit Fractions Using Models,5GM,5GM.4.1.1,4.1.1,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,,8,334;331;443;1159,334:13;331:13;443:14;1159:10,3968,3968,,activity-history;activity-history,6,355;1583,Splitting Rational Expressions Into Separate Terms;Solving Exponential Equations With Different Bases
equivalent,75,75,2322,Multiplying Numbers by Powers of Ten Using Place Value,5GM,5GM.2.1.1,2.1.1,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,,8,334;331;443;1159,334:13;331:13;443:14;1159:14,2313,2313,,activity-history;activity-history;activity-history;activity-history;activity-history,7,14;37;131;336;1753,Imaginary Numbers;The Power and Root Rules for Limits;Compound Events in Probability From Experimental Data;The Average Rate of Change of a Function;Volumes of Rectangular Solids
equivalent,76,76,2436,Dividing Fractions by Whole Numbers Using Models,6GM,6GM.3.1.3,3.1.3,3. The Number System- Dividing Fractions,3.1. Dividing Fractions and Whole Numbers,,8,334;331;443;1159,334:11;331:12;443:13;1159:12,528,528,,queue-checkmark,5,1589,Distance-Time Graphs
equivalent,77,77,1505,Sums of Angles,4GM,4GM.7.3.8,7.3.8,7. Measurement & Data,7.3. Geometry,137,9,1159,1159:15,2172;3902;3906;3907;3910,2172;3902;3906;3907;3910,,activity-history,5,459,The Distance Formula
equivalent,78,78,2416,Two-Digit by One-Digit Multiplication Using Place Value,4GM,4GM.4.3.3,4.3.3,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,,9,334;331;443;1159,334:13;331:9;443:10;1159:11,2415,2415,,activity-history;queue-checkmark;activity-history,4,73;1589;1753,Fibonacci Sequences;Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,79,79,3881,Adding Three Multi-Digit Numbers,4GM,4GM.3.1.6,3.1.6,3. Addition & Subtraction,3.1. Adding Whole Numbers,,9,334;331;443;1159,334:13;331:10;443:11;1159:12,3913,3913,,activity-history;queue-checkmark,5,73;1589,Fibonacci Sequences;Distance-Time Graphs
equivalent,80,80,3908,Subtracting Numbers Up to Five Digits,4GM,4GM.3.2.4,3.2.4,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,,9,334;331;443;1159,334:15;331:11;443:12;1159:13,3890;3907,3890;3907,,activity-history;activity-history,7,336;726,The Average Rate of Change of a Function;The Common Logarithm
equivalent,81,81,3079,Multiplying Fractions Using Models,5GM,5GM.4.1.2,4.1.2,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,,9,334;331;443;1159,334:12;331:12;443:13;1159:9,565,565,,activity-history;activity-history,5,355;1583,Splitting Rational Expressions Into Separate Terms;Solving Exponential Equations With Different Bases
equivalent,82,82,2206,The Multiples of a Number,4GM,4GM.4.1.4,4.1.4,4. Multiplication,"4.1. Factors, Products, and Multiples",,10,334;331;443;1159,334:12;331:9;443:10;1159:11,3881;3942,3881;3942,,activity-history,5,726,The Common Logarithm
equivalent,83,83,2393,Multi-Digit by One-Digit Multiplication Using Area Models,4GM,4GM.4.3.2,4.3.2,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,,10,334;331;443;1159,334:14;331:11;443:12;1159:13,2415;3881,2415;3881,,activity-history,4,73,Fibonacci Sequences
equivalent,84,84,2418,Two-Digit by Two-Digit Multiplication Using Area Models,4GM,4GM.4.3.5,4.3.5,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,,10,334;331;443;1159,334:14;331:14;443:15;1159:14,2415;3881,2415;3881,,queue-checkmark,4,1589,Distance-Time Graphs
equivalent,85,85,3909,Subtracting Numbers Up to Seven Digits,4GM,4GM.3.2.5,3.2.5,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,,10,334;331;443;1159,334:18;331:10;443:11;1159:12,3908,3908,,activity-history,6,726,The Common Logarithm
equivalent,86,86,2392,Two-Digit by One-Digit Multiplication,5GM,5GM.2.1.2,2.1.2,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,,10,334;331;443;1159,334:12;331:8;443:9;1159:10,2416,2416,,queue-checkmark;activity-history,3,1589;1753,Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,87,87,2394,Two-Digit by Two-Digit Multiplication Using Place Value,4GM,4GM.4.3.6,4.3.6,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,,11,334;331;443;1159,334:13;331:13;443:14;1159:13,2416;2418,2416;2418,,queue-checkmark,3,1589,Distance-Time Graphs
