layer,topic-id,topic-code,topic-name,lesson-path,source-path
35,1135,PAL.3.3.1,Writing Numbers in Scientific Notation,,
36,1136,PAL.3.3.2,Converting Scientific Notation to Standard Notation,,
36,90,PAL.3.3.3,Comparing Numbers in Scientific Notation,,
36,1863,PAL.3.3.4,Addition and Subtraction in Scientific Notation,,
37,3843,PAL.3.3.5,Addition in Scientific Notation With Different Powers of Ten,,
38,3989,PAL.3.3.6,Subtraction in Scientific Notation With Different Powers of Ten,,
39,4002,PAL.3.3.7,Further Addition in Scientific Notation With Different Powers of Ten,,
36,1137,PAL.3.3.8,Multiplying Numbers in Scientific Notation,,
43,1138,PAL.3.3.9,Dividing Numbers in Scientific Notation,,
28,2561,PAL.3.4.1,Evaluating Rational Number Expressions Without Exponents,,
31,121,PAL.3.4.2,Evaluating Expressions With Positive Integer Exponents,,
34,1987,PAL.3.4.3,Evaluating Expressions With Integer Exponents,,
31,1822,PAL.3.5.1,The Square Root of a Perfect Square,,
32,3552,PAL.3.5.2,Squaring a Square Root,,
33,1819,PAL.3.5.3,The Cube Root of a Perfect Cube,,
34,2204,PAL.3.5.4,Surds,,
35,3709,PAL.3.5.5,Simplifying Expressions With Surds,,
35,589,PAL.3.5.6,Evaluating Numerical Expressions Containing Radicals,,
43,484,PAL.3.5.7,Adding and Subtracting Radicals,,
42,1318,PAL.3.5.8,Rationalizing Denominators,,
36,2607,PAL.3.6.1,Radicals as Fractional Exponents,,
41,1927,PAL.3.6.2,The Product Rule for Radicals,,
41,2240,PAL.3.6.3,The Quotient Rule for Radicals,,
25,63,PAL.4.1.1,Introduction to Algebraic Expressions,,
26,3721,PAL.4.1.2,Constructing Algebraic Expressions,,
29,64,PAL.4.1.3,Evaluating Linear Expressions,,
35,2183,PAL.4.1.4,Evaluating Rational Expressions,,
27,643,PAL.4.1.5,Identifying Terms in Linear Expressions,,
28,645,PAL.4.1.6,Identifying Coefficients and Constants,,
31,85,PAL.4.1.7,The Greatest Common Factor of Two Linear Expressions,,
29,644,PAL.4.2.1,Identifying Like Terms in Linear Expressions,,
30,134,PAL.4.2.2,Collecting Like Terms in Linear Expressions,,
33,135,PAL.4.2.3,Applying the Distributive Law With Linear Expressions,,
34,3847,PAL.4.2.4,The Distributive Law With Three Terms,,
35,137,PAL.4.2.5,Distributing the Negative Sign in a Linear Expression,,
40,138,PAL.4.2.6,Simplifying Linear Expressions Using the Distributive Law,,
41,3873,PAL.4.2.7,Simplifying Linear Expressions When a Group of Terms Is Subtracted,,
43,2244,PAL.4.2.8,Simplifying Linear Expressions Containing Fractions,,
29,2441,PAL.4.2.9,Factoring Numerical Expressions,,
39,87,PAL.4.2.10,Factoring Linear Expressions,,
30,1412,PAL.5.1.1,Solving Linear Equations by Trial and Error,,
31,65,PAL.5.1.2,Solving One-Step Addition and Subtraction Equations,,
31,40,PAL.5.1.3,Solving One-Step Multiplication and Division Equations,,
32,66,PAL.5.2.1,Solving Two-Step Equations,,
33,67,PAL.5.2.2,Solving Linear Equations With Fractional Coefficients,,
33,2270,PAL.5.2.3,Solving Linear Equations With Decimal Coefficients,,
34,343,PAL.5.2.4,Solving Linear Equations With Variables on Both Sides,,
35,651,PAL.5.2.5,Solving Linear Equations by Clearing a Rational Expression,,
36,1413,PAL.5.2.6,Solving Linear Equations Using Cross-Multiplication,,
37,356,PAL.5.2.7,Solving Two-Variable Equations,,
45,1414,PAL.5.2.8,Linear Equations With Infinitely Many Solutions,,
45,5572,PAL.5.2.9,Linear Equations With No Solutions,,
30,178,PAL.5.3.1,Inequalities,,
37,2310,PAL.5.3.2,Compound Inequalities,,
40,387,PAL.5.3.3,Verifying Solutions of Linear Inequalities,,
